id,latitude,longitude,open,accessible
wp118,39.25206933,-76.70810776,TRUE,TRUE
wp119,39.25189182,-76.70801831,TRUE,TRUE
wp120,39.25168688,-76.70762595,TRUE,TRUE
wp121,39.25160731,-76.70747906,TRUE,TRUE
wp122,39.25151074,-76.70748141,TRUE,TRUE
wp123,39.25144492,-76.70718084,TRUE,TRUE
wp124,39.25157866,-76.70709156,TRUE,TRUE
wp125,39.25138252,-76.70669518,TRUE,TRUE
wp126,39.25126762,-76.70677598,TRUE,TRUE
wp127,39.25218203,-76.70882971,TRUE,TRUE
wp128,39.25197198,-76.70930534,TRUE,TRUE
wp129,39.25184253,-76.70923905,TRUE,TRUE
wp130,39.25190566,-76.70928126,TRUE,FALSE
wp131,39.25192546,-76.70880296,TRUE,TRUE
wp132,39.25204614,-76.708808,TRUE,TRUE
wp133,39.25161744,-76.70916933,TRUE,TRUE
wp134,39.25120081,-76.70899798,TRUE,TRUE
wp135,39.25048897,-76.70868011,TRUE,TRUE
wp136,39.2515088,-76.70940973,TRUE,TRUE
wp137,39.25152717,-76.70965301,TRUE,TRUE
wp138,39.25119908,-76.71037004,TRUE,TRUE
wp139,39.25107948,-76.71118832,TRUE,FALSE
wp140,39.25102897,-76.71172345,TRUE,FALSE
wp141,39.25114396,-76.71175778,TRUE,TRUE
wp142,39.25119208,-76.71264875,TRUE,TRUE
wp143,39.25126963,-76.7127517,TRUE,TRUE
wp144,39.25125939,-76.71125184,TRUE,TRUE
wp145,39.25133965,-76.71098489,TRUE,TRUE
wp146,39.25141908,-76.7107078,TRUE,TRUE
wp147,39.25165712,-76.7100471,TRUE,TRUE
wp148,39.25140909,-76.7132455,TRUE,TRUE
wp149,39.25164686,-76.7130958,TRUE,TRUE
wp150,39.25187496,-76.71357903,TRUE,TRUE
wp151,39.2520446,-76.71365927,TRUE,TRUE
wp152,39.2514906,-76.71203174,TRUE,TRUE
wp153,39.25158281,-76.71111309,TRUE,TRUE
wp154,39.2516597,-76.71087001,TRUE,TRUE
wp155,39.25206351,-76.71119498,TRUE,TRUE
wp156,39.25212468,-76.71141218,TRUE,TRUE
wp157,39.25244909,-76.71182791,TRUE,TRUE
wp158,39.25210692,-76.71162132,TRUE,TRUE
wp159,39.25247247,-76.7119761,TRUE,TRUE
wp160,39.25242473,-76.71210964,TRUE,TRUE
wp161,39.25220233,-76.71221012,TRUE,TRUE
wp162,39.25207627,-76.71178406,TRUE,TRUE
wp163,39.25197574,-76.71174305,TRUE,TRUE
wp164,39.25202352,-76.71133282,TRUE,TRUE
wp165,39.25186492,-76.71115959,TRUE,TRUE
wp166,39.25229238,-76.71267668,TRUE,TRUE
wp167,39.25242597,-76.7131153,TRUE,TRUE
wp168,39.25252779,-76.71349709,TRUE,TRUE
wp169,39.25246859,-76.71325831,TRUE,TRUE
wp170,39.25267026,-76.71342423,TRUE,TRUE
wp171,39.25267135,-76.7139509,TRUE,TRUE
wp172,39.25268102,-76.71419989,TRUE,TRUE
wp173,39.25262587,-76.71436729,TRUE,TRUE
wp174,39.25242312,-76.7141942,TRUE,TRUE
wp175,39.2522955,-76.71392188,TRUE,TRUE
wp176,39.25296721,-76.71463411,TRUE,TRUE
wp177,39.25307,-76.71470548,TRUE,TRUE
wp178,39.25313457,-76.7145952,TRUE,TRUE
wp179,39.25317141,-76.71479368,TRUE,TRUE
wp180,39.25401826,-76.71542879,TRUE,TRUE
wp181,39.25482776,-76.716025,TRUE,TRUE
wp182,39.25496022,-76.7161245,TRUE,TRUE
wp183,39.25488095,-76.71587588,TRUE,TRUE
wp184,39.25452457,-76.71561593,TRUE,TRUE
wp185,39.25437767,-76.71541045,TRUE,TRUE
wp186,39.25433232,-76.71537798,TRUE,TRUE
wp187,39.25424185,-76.71506339,TRUE,TRUE
wp188,39.25433537,-76.71501898,TRUE,TRUE
wp189,39.25465332,-76.71487598,TRUE,TRUE
wp190,39.2555623,-76.71418271,TRUE,TRUE
wp191,39.25563963,-76.71426083,TRUE,TRUE
wp192,39.25572737,-76.71433567,TRUE,TRUE
wp193,39.25570037,-76.71421619,TRUE,TRUE
wp194,39.25566816,-76.71411523,TRUE,TRUE
wp195,39.25562755,-76.71399181,TRUE,TRUE
wp196,39.25559302,-76.71385352,TRUE,TRUE
wp197,39.25537333,-76.71395823,TRUE,TRUE
wp198,39.25520909,-76.71403509,TRUE,TRUE
wp199,39.25530014,-76.71635479,TRUE,TRUE
